"CategoryID"	"ProductID"
"Swim Flash Sale 3.19"	"0500034644930"
"Swim Flash Sale 3.19"	"0500086858069"
"Swim Flash Sale 3.19"	"0500048829063"
"Swim Flash Sale 3.19"	"0500034647719"
"Swim Flash Sale 3.19"	"0500048828644"
"Swim Flash Sale 3.19"	"0500034644294"
"Swim Flash Sale 3.19"	"0500086857268"
"Swim Flash Sale 3.19"	"0500086857958"
"Swim Flash Sale 3.19"	"0500087533055"
"Swim Flash Sale 3.19"	"0500087522884"
"Swim Flash Sale 3.19"	"0500019148972"
"Swim Flash Sale 3.19"	"0500049914948"
"Swim Flash Sale 3.19"	"0500033193350"
"Swim Flash Sale 3.19"	"0500033187220"
"Swim Flash Sale 3.19"	"0500049919608"
"Swim Flash Sale 3.19"	"0500087532065"
"Swim Flash Sale 3.19"	"0500033192808"
"Swim Flash Sale 3.19"	"0500019149020"
"Swim Flash Sale 3.19"	"0500033176116"
"Swim Flash Sale 3.19"	"0500087527800"
"Swim Flash Sale 3.19"	"0500087528089"
"Swim Flash Sale 3.19"	"0500049917453"
"Swim Flash Sale 3.19"	"0500049919335"
"Swim Flash Sale 3.19"	"0500049918543"
"Swim Flash Sale 3.19"	"0500049919384"
"Swim Flash Sale 3.19"	"0500019149178"
"Swim Flash Sale 3.19"	"0500049919285"
"Swim Flash Sale 3.19"	"0500046940847"
"Swim Flash Sale 3.19"	"0500033406547"
"Swim Flash Sale 3.19"	"0500033406414"
"Swim Flash Sale 3.19"	"0500046940904"
"Swim Flash Sale 3.19"	"0500047039193"
"Swim Flash Sale 3.19"	"0500046941043"
"Swim Flash Sale 3.19"	"0500033406596"
"Swim Flash Sale 3.19"	"0500033407362"
"Swim Flash Sale 3.19"	"0500033407040"
"Swim Flash Sale 3.19"	"0500033406265"
"Swim Flash Sale 3.19"	"0500033407156"
"Swim Flash Sale 3.19"	"0500033406836"
"Swim Flash Sale 3.19"	"0500033406711"
"Swim Flash Sale 3.19"	"0500046940680"
"Swim Flash Sale 3.19"	"0500033407107"
"Swim Flash Sale 3.19"	"0500033406950"
"Swim Flash Sale 3.19"	"0500047052162"
"Swim Flash Sale 3.19"	"0500046940557"
"Swim Flash Sale 3.19"	"0500046940623"
"Swim Flash Sale 3.19"	"0500046941092"
"Swim Flash Sale 3.19"	"0500047052105"
"Swim Flash Sale 3.19"	"0500046940979"
"Swim Flash Sale 3.19"	"0500046941167"
"Swim Flash Sale 3.19"	"0500048961205"
"Swim Flash Sale 3.19"	"0500048961445"
"Swim Flash Sale 3.19"	"0500049972144"
"Swim Flash Sale 3.19"	"0500048961262"
"Swim Flash Sale 3.19"	"0500033370982"
"Swim Flash Sale 3.19"	"0500048961387"
"Swim Flash Sale 3.19"	"0500048961502"
"Swim Flash Sale 3.19"	"0500048961619"
"Swim Flash Sale 3.19"	"0500048961676"
"Swim Flash Sale 3.19"	"0500049971674"
"Swim Flash Sale 3.19"	"0500049972276"
"Swim Flash Sale 3.19"	"0500033372087"
"Swim Flash Sale 3.19"	"0500048961320"
"Swim Flash Sale 3.19"	"0500086880493"
"Swim Flash Sale 3.19"	"0500086880504"
"Swim Flash Sale 3.19"	"0500086880498"
"Swim Flash Sale 3.19"	"0500086880510"
"Swim Flash Sale 3.19"	"0500086888600"
"Swim Flash Sale 3.19"	"0500049369697"
"Swim Flash Sale 3.19"	"0500034118695"
"Swim Flash Sale 3.19"	"0500034118745"
"Swim Flash Sale 3.19"	"0500049267735"
"Swim Flash Sale 3.19"	"0500049266224"
"Swim Flash Sale 3.19"	"0500019186741"
"Swim Flash Sale 3.19"	"0500049267339"
"Swim Flash Sale 3.19"	"0500049267131"
"Swim Flash Sale 3.19"	"0500049352610"
"Swim Flash Sale 3.19"	"0500049369796"
"Swim Flash Sale 3.19"	"0500049267388"
"Swim Flash Sale 3.19"	"0500049267586"
"Swim Flash Sale 3.19"	"0500033274341"
"Swim Flash Sale 3.19"	"0500033281718"
"Swim Flash Sale 3.19"	"0500033284928"
"Swim Flash Sale 3.19"	"0500033302605"
"Swim Flash Sale 3.19"	"0500033282674"
"Swim Flash Sale 3.19"	"0500033289448"
"Swim Flash Sale 3.19"	"0500033787185"
"Swim Flash Sale 3.19"	"0500030656300"
"Swim Flash Sale 3.19"	"0500030885792"
"Swim Flash Sale 3.19"	"0500030886956"
"Swim Flash Sale 3.19"	"0500030656359"
"Swim Flash Sale 3.19"	"0500030656441"
"Swim Flash Sale 3.19"	"0500030656474"
"Swim Flash Sale 3.19"	"0500030655914"
"Swim Flash Sale 3.19"	"0500030656391"
"Swim Flash Sale 3.19"	"0500035066414"
"Swim Flash Sale 3.19"	"0500033307455"
"Swim Flash Sale 3.19"	"0500033312067"
"Swim Flash Sale 3.19"	"0500033317314"
"Swim Flash Sale 3.19"	"0500033318064"
"Swim Flash Sale 3.19"	"0500033318619"
"Swim Flash Sale 3.19"	"0500033318908"
"Swim Flash Sale 3.19"	"0500049312754"
"Swim Flash Sale 3.19"	"0500033327222"
"Swim Flash Sale 3.19"	"0500033330259"
"Swim Flash Sale 3.19"	"0500033310079"
"Swim Flash Sale 3.19"	"0500033317868"
"Swim Flash Sale 3.19"	"0500033326232"
"Swim Flash Sale 3.19"	"0500033313677"
"Swim Flash Sale 3.19"	"0500033323460"
"Swim Flash Sale 3.19"	"0500033325424"
"Swim Flash Sale 3.19"	"0500049869571"
"Swim Flash Sale 3.19"	"0500049870025"
"Swim Flash Sale 3.19"	"0500049870876"
"Swim Flash Sale 3.19"	"0500049871213"
"Swim Flash Sale 3.19"	"0500049870470"
"Swim Flash Sale 3.19"	"0500049869373"
"Swim Flash Sale 3.19"	"0500049871619"
"Swim Flash Sale 3.19"	"0500049871866"
"Swim Flash Sale 3.19"	"0500049872278"
"Swim Flash Sale 3.19"	"0500049872773"
"Swim Flash Sale 3.19"	"0500048951685"
"Swim Flash Sale 3.19"	"0500048951545"
"Swim Flash Sale 3.19"	"0500048953616"
"Swim Flash Sale 3.19"	"0500049995335"
"Swim Flash Sale 3.19"	"0500049995566"
"Swim Flash Sale 3.19"	"0500034649442"
"Swim Flash Sale 3.19"	"0500086996867"
"Swim Flash Sale 3.19"	"0500049417140"
"Swim Flash Sale 3.19"	"0500034648964"
"Swim Flash Sale 3.19"	"0500034649897"
"Swim Flash Sale 3.19"	"0500034651711"
"Swim Flash Sale 3.19"	"0500034653501"
"Swim Flash Sale 3.19"	"0500087740155"
"Swim Flash Sale 3.19"	"0500049416654"
"Swim Flash Sale 3.19"	"0500032767253"
"Swim Flash Sale 3.19"	"0500032768012"
"Swim Flash Sale 3.19"	"0500032766438"
"Swim Flash Sale 3.19"	"0500032768079"
"Swim Flash Sale 3.19"	"0500032766701"
"Swim Flash Sale 3.19"	"0500032768517"
"Swim Flash Sale 3.19"	"0500032767071"
"Swim Flash Sale 3.19"	"0500032767378"
"Swim Flash Sale 3.19"	"0500032768541"
"Swim Flash Sale 3.19"	"0500032768582"
"Swim Flash Sale 3.19"	"0500049007347"
"Swim Flash Sale 3.19"	"0500049007651"
"Swim Flash Sale 3.19"	"0500049007578"
"Swim Flash Sale 3.19"	"0500049007610"
"Swim Flash Sale 3.19"	"0500049007297"
"Swim Flash Sale 3.19"	"0500049007529"
"Swim Flash Sale 3.19"	"0500049007537"
"Swim Flash Sale 3.19"	"0500086852797"
"Swim Flash Sale 3.19"	"0500086852913"
"Swim Flash Sale 3.19"	"0500086852943"
"Swim Flash Sale 3.19"	"0500086852948"
"Swim Flash Sale 3.19"	"0500086852765"
"Swim Flash Sale 3.19"	"0500086852930"
"Swim Flash Sale 3.19"	"0500086852939"
"Swim Flash Sale 3.19"	"0500086852883"
"Swim Flash Sale 3.19"	"0500086852792"
"Swim Flash Sale 3.19"	"0500086852893"
"Swim Flash Sale 3.19"	"0500086852700"
"Swim Flash Sale 3.19"	"0500086852934"
"Swim Flash Sale 3.19"	"0500033931197"
"Swim Flash Sale 3.19"	"0500088188065"
"Swim Flash Sale 3.19"	"0500033899295"
"Swim Flash Sale 3.19"	"0500033920588"
"Swim Flash Sale 3.19"	"0500033928607"
"Swim Flash Sale 3.19"	"0500040517377"
"Swim Flash Sale 3.19"	"0500033900895"
"Swim Flash Sale 3.19"	"0500033894064"
"Swim Flash Sale 3.19"	"0500033929209"
"Swim Flash Sale 3.19"	"0500035194141"
"Swim Flash Sale 3.19"	"0500035194414"
"Swim Flash Sale 3.19"	"0500033907437"
"Swim Flash Sale 3.19"	"0500033927880"
"Swim Flash Sale 3.19"	"0500033891854"
"Swim Flash Sale 3.19"	"0500033940214"
"Swim Flash Sale 3.19"	"0500033936873"
"Swim Flash Sale 3.19"	"0500033939943"
"Swim Flash Sale 3.19"	"0500033909623"
"Swim Flash Sale 3.19"	"0500033927179"
"Swim Flash Sale 3.19"	"0500089072789"
"Swim Flash Sale 3.19"	"0500034102053"
"Swim Flash Sale 3.19"	"0500034102152"
"Swim Flash Sale 3.19"	"0500034103358"
"Swim Flash Sale 3.19"	"0500034103408"
"Swim Flash Sale 3.19"	"0500034103036"
"Swim Flash Sale 3.19"	"0500086948373"
"Swim Flash Sale 3.19"	"0500086948377"
"Swim Flash Sale 3.19"	"0500034103481"
"Swim Flash Sale 3.19"	"0500086947709"
"Swim Flash Sale 3.19"	"0500086948350"
"Swim Flash Sale 3.19"	"0500086948362"
"Swim Flash Sale 3.19"	"0500033943028"
"Swim Flash Sale 3.19"	"0500033943929"
"Swim Flash Sale 3.19"	"0500086947622"
"Swim Flash Sale 3.19"	"0500086978807"
"Swim Flash Sale 3.19"	"0500086947714"
"Swim Flash Sale 3.19"	"0500033943564"
"Swim Flash Sale 3.19"	"0500086947647"
"Swim Flash Sale 3.19"	"0500033943606"
"Swim Flash Sale 3.19"	"0500086978801"
"Swim Flash Sale 3.19"	"0500086978812"
"Swim Flash Sale 3.19"	"0500086948356"
"Swim Flash Sale 3.19"	"0500086948368"
"Swim Flash Sale 3.19"	"0500086978754"
"Swim Flash Sale 3.19"	"0500033943069"
"Swim Flash Sale 3.19"	"0500034101543"
"Swim Flash Sale 3.19"	"0500033943341"
"Swim Flash Sale 3.19"	"0500086978698"
"Swim Flash Sale 3.19"	"0500047850110"
"Swim Flash Sale 3.19"	"0500047849989"
"Swim Flash Sale 3.19"	"0500047849567"
"Swim Flash Sale 3.19"	"0500047849914"
"Swim Flash Sale 3.19"	"0500047850219"
"Swim Flash Sale 3.19"	"0500034503086"
"Swim Flash Sale 3.19"	"0500048815377"
"Swim Flash Sale 3.19"	"0500048815393"
"Swim Flash Sale 3.19"	"0500048815419"
"Swim Flash Sale 3.19"	"0500048815435"
"Swim Flash Sale 3.19"	"0500048815450"
"Swim Flash Sale 3.19"	"0500048815476"
"Swim Flash Sale 3.19"	"0500047850003"
"Swim Flash Sale 3.19"	"0500047850029"
"Swim Flash Sale 3.19"	"0500049819212"
"Swim Flash Sale 3.19"	"0500049829617"
"Swim Flash Sale 3.19"	"0500049832793"
"Swim Flash Sale 3.19"	"0500049821762"
"Swim Flash Sale 3.19"	"0500049826944"
"Swim Flash Sale 3.19"	"0500049823180"
"Swim Flash Sale 3.19"	"0500049828148"
